Full title,Title29,Title20,ISSN,EISSN,Category name
Early Intervention in Psychiatry,EARLY INTERV PSYCHIATRY,EARLY INTERV PSYCHIA,1751-7885,1751-7893,PSYCHIATRY/PSYCHOLOGY
Eating and Weight Disorders-Studies on Anorexia Bulimia and Obesity,EAT WEIGHT DISORD-STUD ANOREX,EAT WEIGHT DISORD-ST,1124-4909,1590-1262,PSYCHIATRY/PSYCHOLOGY
Eating Behaviors,EAT BEHAV,EAT BEHAV,1471-0153,1873-7358,PSYCHIATRY/PSYCHOLOGY
Eating Disorders,EAT DISORD,EAT DISORD,1064-0266,1532-530X,PSYCHIATRY/PSYCHOLOGY
ECOLOGICAL PSYCHOLOGY,ECOL PSYCHOL,ECOL PSYCHOL,1040-7413,1532-6969,PSYCHIATRY/PSYCHOLOGY
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,EDUC PSYCHOL MEAS,EDUC PSYCHOL MEAS,0013-1644,1552-3888,PSYCHIATRY/PSYCHOLOGY
EDUCATIONAL PSYCHOLOGIST,EDUC PSYCHOL,EDUC PSYCHOL-US,0046-1520,1532-6985,PSYCHIATRY/PSYCHOLOGY
Educational Psychology,EDUC PSYCHOL-UK,EDUC PSYCHOL-UK,0144-3410,1469-5820,PSYCHIATRY/PSYCHOLOGY
EDUCATIONAL PSYCHOLOGY REVIEW,EDUC PSYCHOL REV,EDUC PSYCHOL REV,1040-726X,1573-336X,PSYCHIATRY/PSYCHOLOGY
EMOTION,EMOTION,EMOTION,1528-3542,1931-1516,PSYCHIATRY/PSYCHOLOGY
Emotion Review,EMOT REV,EMOT REV,1754-0739,1754-0747,PSYCHIATRY/PSYCHOLOGY
Epidemiology and Psychiatric Sciences,EPIDEMIOL PSYCHIATR SCI,EPIDEMIOL PSYCH SCI,2045-7960,2045-7979,PSYCHIATRY/PSYCHOLOGY
Estudios de Psicologia,ESTUD PSICOL,ESTUD PSICOL-MADRID,0210-9395,1579-3699,PSYCHIATRY/PSYCHOLOGY
ETHICS & BEHAVIOR,ETHICS BEHAV,ETHICS BEHAV,1050-8422,1532-7019,PSYCHIATRY/PSYCHOLOGY
EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,EUR CHILD ADOLESC PSYCHIATR,EUR CHILD ADOLES PSY,1018-8827,1435-165X,PSYCHIATRY/PSYCHOLOGY
EUROPEAN EATING DISORDERS REVIEW,EUROPEAN EATING DISORDERS REV,EUR EAT DISORD REV,1072-4133,1099-0968,PSYCHIATRY/PSYCHOLOGY
European Journal of Developmental Psychology,EUR J DEV PSYCHOL,EUR J DEV PSYCHOL,1740-5629,1740-5610,PSYCHIATRY/PSYCHOLOGY
EUROPEAN JOURNAL OF PERSONALITY,EUR J PERSONALITY,EUR J PERSONALITY,0890-2070,1099-0984,PSYCHIATRY/PSYCHOLOGY
EUROPEAN JOURNAL OF PSYCHIATRY,EUR J PSYCHIAT,EUR J PSYCHIAT,0213-6163,null,PSYCHIATRY/PSYCHOLOGY
EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,EUR J PSYCHOL ASSESS,EUR J PSYCHOL ASSESS,1015-5759,2151-2426,PSYCHIATRY/PSYCHOLOGY
European Journal of Psychology Applied to Legal Context,EUR J PSYCHOL APPL LEG CONTEX,EUR J PSYCHOL APPL L,1889-1861,1989-4007,PSYCHIATRY/PSYCHOLOGY
EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,EUR J PSYCHOL EDUC,EUR J PSYCHOL EDUC,0256-2928,1878-5174,PSYCHIATRY/PSYCHOLOGY
European Journal of Psychotraumatology,EUR J PSYCHOTRAUMATOL,EUR J PSYCHOTRAUMATO,2000-8066,2000-8066,PSYCHIATRY/PSYCHOLOGY
EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,EUR J SOC PSYCHOL,EUR J SOC PSYCHOL,0046-2772,1099-0992,PSYCHIATRY/PSYCHOLOGY
European Journal of Work and Organizational Psychology,EUR J WORK ORGAN PSYCHOL,EUR J WORK ORGAN PSY,1359-432X,1464-0643,PSYCHIATRY/PSYCHOLOGY
EUROPEAN PSYCHIATRY,EUR PSYCHIAT,EUR PSYCHIAT,0924-9338,1778-3585,PSYCHIATRY/PSYCHOLOGY
EUROPEAN PSYCHOLOGIST,EUR PSYCHOL,EUR PSYCHOL,1016-9040,1878-531X,PSYCHIATRY/PSYCHOLOGY
EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,EUR REV APPL PSYCHOL,EUR REV APPL PSYCHOL,1162-9088,1162-9088,PSYCHIATRY/PSYCHOLOGY
European Review of Social Psychology,EUR REV SOC PSYCHOL,EUR REV SOC PSYCHOL,1046-3283,1479-277X,PSYCHIATRY/PSYCHOLOGY
EVOLUTION AND HUMAN BEHAVIOR,EVOL HUM BEHAV,EVOL HUM BEHAV,1090-5138,1879-0607,PSYCHIATRY/PSYCHOLOGY
Evolutionary Psychology,EVOL PSYCHOL,EVOL PSYCHOL-US,1474-7049,1474-7049,PSYCHIATRY/PSYCHOLOGY
EVOLUTION PSYCHIATRIQUE,EVOL PSYCHIATR,EVOL PSYCHIATR,0014-3855,1769-6674,PSYCHIATRY/PSYCHOLOGY
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,EXP CLIN PSYCHOPHARMACOL,EXP CLIN PSYCHOPHARM,1064-1297,1936-2293,PSYCHIATRY/PSYCHOLOGY
EXPERIMENTAL PSYCHOLOGY,EXP PSYCHOL,EXP PSYCHOL,1618-3169,2190-5142,PSYCHIATRY/PSYCHOLOGY
FAMILY PROCESS,FAM PROCESS,FAM PROCESS,0014-7370,1545-5300,PSYCHIATRY/PSYCHOLOGY
FEMINISM & PSYCHOLOGY,FEM PSYCHOL,FEM PSYCHOL,0959-3535,1461-7161,PSYCHIATRY/PSYCHOLOGY
FORUM DER PSYCHOANALYSE,FORUM PSYCHOANAL,FORUM PSYCHOANAL,0178-7667,1437-0751,PSYCHIATRY/PSYCHOLOGY
Frontiers in Psychiatry,FRONT PSYCHIATRY,FRONT PSYCHIATRY,1664-0640,1664-0640,PSYCHIATRY/PSYCHOLOGY
Frontiers in Psychology,FRONT PSYCHOL,FRONT PSYCHOL,1664-1078,1664-1078,PSYCHIATRY/PSYCHOLOGY
Gedrag & Organisatie,GEDRAG ORGAN,GEDRAG ORGAN,0921-5077,1875-7235,PSYCHIATRY/PSYCHOLOGY
GENERAL HOSPITAL PSYCHIATRY,GEN HOSP PSYCHIAT,GEN HOSP PSYCHIAT,0163-8343,1873-7714,PSYCHIATRY/PSYCHOLOGY
Geriatrie et Psychologie Neuropsychiatrie de Vieillissement,GERIATR PSYCHOL NEUROPSYCH VI,GERIATR PSYCHOL NEUR,2115-8789,2115-7863,PSYCHIATRY/PSYCHOLOGY
GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,GROUP DYN-THEORY RES PRACT,GROUP DYN-THEOR RES,1089-2699,1930-7802,PSYCHIATRY/PSYCHOLOGY
GROUP PROCESSES & INTERGROUP RELATIONS,GROUP PROCESS INTERGROUP RELA,GROUP PROCESS INTERG,1368-4302,1461-7188,PSYCHIATRY/PSYCHOLOGY
GRUPPENPSYCHOTHERAPIE UND GRUPPENDYNAMIK,GRUPPENPSYCHOTHER GRUPPENDYN,GRUPPENPSYCHOTHER GR,0017-4947,2196-7989,PSYCHIATRY/PSYCHOLOGY
HARVARD REVIEW OF PSYCHIATRY,HARVARD REV PSYCHIATR,HARVARD REV PSYCHIAT,1067-3229,1465-7309,PSYCHIATRY/PSYCHOLOGY
HEALTH PSYCHOLOGY,HEALTH PSYCHOL,HEALTH PSYCHOL,0278-6133,1930-7810,PSYCHIATRY/PSYCHOLOGY
Health Psychology Review,HEALTH PSYCHOL REV,HEALTH PSYCHOL REV,1743-7199,1743-7202,PSYCHIATRY/PSYCHOLOGY
HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,HISPAN J BEHAV SCI,HISPANIC J BEHAV SCI,0739-9863,1552-6364,PSYCHIATRY/PSYCHOLOGY
HISTORY OF PSYCHIATRY,HIST PSYCHIAT,HIST PSYCHIATR,0957-154X,1740-2360,PSYCHIATRY/PSYCHOLOGY
History of Psychology,HIST PSYCHOL,HIST PSYCHOL,1093-4510,1939-0610,PSYCHIATRY/PSYCHOLOGY
HUMAN DEVELOPMENT,HUM DEVELOP,HUM DEV,0018-716X,1423-0054,PSYCHIATRY/PSYCHOLOGY
HUMAN FACTORS,HUM FACTORS,HUM FACTORS,0018-7208,1547-8181,PSYCHIATRY/PSYCHOLOGY
HUMAN MOVEMENT SCIENCE,HUM MOVEMENT SCI,HUM MOVEMENT SCI,0167-9457,1872-7646,PSYCHIATRY/PSYCHOLOGY
HUMAN PERFORMANCE,HUM PERFORM,HUM PERFORM,0895-9285,1532-7043,PSYCHIATRY/PSYCHOLOGY
Indian Journal of Psychiatry,INDIAN J PSYCHIATRY,INDIAN J PSYCHIAT,0019-5545,1998-3794,PSYCHIATRY/PSYCHOLOGY
Industrial and Organizational Psychology-Perspectives on Science and Practice,IND ORGAN PSYCHOL,IND ORGAN PSYCHOL-US,1754-9426,1754-9434,PSYCHIATRY/PSYCHOLOGY
Infancia y Aprendizaje,INFANC APRENDIZ,INFANC APRENDIZ,0210-3702,1578-4126,PSYCHIATRY/PSYCHOLOGY
INFANCY,INFANCY,INFANCY,1525-0008,1532-7078,PSYCHIATRY/PSYCHOLOGY
INFANT AND CHILD DEVELOPMENT,INFANT CHILD DEV,INFANT CHILD DEV,1522-7219,1522-7219,PSYCHIATRY/PSYCHOLOGY
INFANT BEHAVIOR & DEVELOPMENT,INFANT BEHAV DEVELOP,INFANT BEHAV DEV,0163-6383,1879-0453,PSYCHIATRY/PSYCHOLOGY
INFANT MENTAL HEALTH JOURNAL,INFANT MENT HEALTH J,INFANT MENT HEALTH J,0163-9641,1097-0355,PSYCHIATRY/PSYCHOLOGY
Integrative Psychological and Behavioral Science,INTEGR PSYCHOL BEHAV SCI,INTEGR PSYCHOL BEHAV,1932-4502,1936-3567,PSYCHIATRY/PSYCHOLOGY
INTELLIGENCE,INTELLIGENCE,INTELLIGENCE,0160-2896,1873-7935,PSYCHIATRY/PSYCHOLOGY
International Journal for the Psychology of Religion,INT J PSYCHOL RELIG,INT J PSYCHOL RELIG,1050-8619,1532-7582,PSYCHIATRY/PSYCHOLOGY
International Journal of AEROSPACE Psychology,INT J AEROSP PSYCHOL,INT J AEROSP PSYCHOL,2472-1832,2472-1840,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,INT J BEHAV DEV,INT J BEHAV DEV,0165-0254,1464-0651,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,INT J BEHAVIORAL MEDICINE,INT J BEHAV MED,1070-5503,1532-7558,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS,INT J CLIN EXP HYPN,INT J CLIN EXP HYP,0020-7144,1744-5183,PSYCHIATRY/PSYCHOLOGY
International Journal of Clinical and Health Psychology,INT J CLIN HEALTH PSYCHOL,INT J CLIN HLTH PSYC,1697-2600,1576-7329,PSYCHIATRY/PSYCHOLOGY
International Journal of Cognitive Therapy,INT J COGN THER,INT J COGN THER,1937-1209,1937-1217,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF EATING DISORDERS,INT J EATING DISORDER,INT J EAT DISORDER,0276-3478,1098-108X,PSYCHIATRY/PSYCHOLOGY
International Journal of Forensic Mental Health,INT J FORENSIC MENT HEALTH,INT J FORENSIC MENT,1499-9013,1932-9903,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,INT J GERIAT PSYCHIAT,INT J GERIATR PSYCH,0885-6230,1099-1166,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY,INT J GROUP PSYCHOTHER,INT J GROUP PSYCHOTH,0020-7284,1943-2836,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,INT J HUMAN-COMPUTER INTERACT,INT J HUM-COMPUT INT,1044-7318,1532-7590,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,INT J HUM-COMPUT STUDIES,INT J HUM-COMPUT ST,1071-5819,1095-9300,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY,INT J LAW PSYCHIATRY,INT J LAW PSYCHIAT,0160-2527,1873-6386,PSYCHIATRY/PSYCHOLOGY
International Journal of Mental Health and Addiction,INT J MENT HEALTH ADDICT,INT J MENT HEALTH AD,1557-1874,1557-1882,PSYCHIATRY/PSYCHOLOGY
International Journal of Mental Health Promotion,INT J MENT HEALTH PROMOT,INT J MENT HEALTH PR,1462-3730,2049-8543,PSYCHIATRY/PSYCHOLOGY
International Journal of Mental Health Systems,INT J MENT HEALTH SYST,INT J MENT HEALTH SY,1752-4458,1752-4458,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF METHODS IN PSYCHIATRIC RESEARCH,INT J METH PSYCHIATR RES,INT J METH PSYCH RES,1049-8931,1557-0657,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,INT J NEUROPSYCHOPHARMACOL,INT J NEUROPSYCHOPH,1461-1457,1469-5111,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF PSYCHIATRY IN CLINICAL PRACTICE,INT J PSYCHIATR CLIN PRACT,INT J PSYCHIAT CLIN,1365-1501,1471-1788,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE,INT J PSYCHIAT MED,INT J PSYCHIAT MED,0091-2174,1541-3527,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF PSYCHOANALYSIS,INT J PSYCHOANAL,INT J PSYCHOANAL,0020-7578,1745-8315,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF PSYCHOLOGY,INT J PSYCHOL,INT J PSYCHOL,0020-7594,1464-066X,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT,INT J SELECTION ASSESSMENT,INT J SELECT ASSESS,0965-075X,1468-2389,PSYCHIATRY/PSYCHOLOGY
International Journal of Sexual Health,INT J SEX HEALTH,INT J SEX HEALTH,1931-7611,1931-762X,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY,INT J SOC PSYCHIATR,INT J SOC PSYCHIATR,0020-7640,1741-2854,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,INT J SPORT PSYCHOL,INT J SPORT PSYCHOL,0047-0767,null,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF STRESS MANAGEMENT,INT J STRESS MANAGEMENT,INT J STRESS MANAGE,1072-5245,1573-3424,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL PSYCHOGERIATRICS,INT PSYCHOGERIATR,INT PSYCHOGERIATR,1041-6102,1741-203X,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL REVIEW OF PSYCHIATRY,INT REV PSYCHIATR,INT REV PSYCHIATR,0954-0261,1369-1627,PSYCHIATRY/PSYCHOLOGY
International Review of Social Psychology,INT REV SOC PSYCHOL,INT REV SOC PSYCHOL,2397-8570,2397-8570,PSYCHIATRY/PSYCHOLOGY
International Review of Sport and Exercise Psychology,INT REV SPORT EXERC PSYCHOL,INT REV SPORT EXER P,1750-984X,1750-9858,PSYCHIATRY/PSYCHOLOGY
i-Perception,I-PERCEPTION,I-PERCEPTION,2041-6695,2041-6695,PSYCHIATRY/PSYCHOLOGY
ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES,ISR J PSYCHIAT RELATED SCI,ISR J PSYCHIATR REL,0333-7308,0333-7308,PSYCHIATRY/PSYCHOLOGY
JAMA Psychiatry,JAMA PSYCHIATRY,JAMA PSYCHIAT,2168-622X,2168-6238,PSYCHIATRY/PSYCHOLOGY
JAPANESE PSYCHOLOGICAL RESEARCH,JPN PSYCHOL RES,JPN PSYCHOL RES,0021-5368,1468-5884,PSYCHIATRY/PSYCHOLOGY
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,J THEOR SOC BEHAV,J THEOR SOC BEHAV,0021-8308,1468-5914,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,J ABNORMAL CHILD PSYCHOL,J ABNORM CHILD PSYCH,0091-0627,1573-2835,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF ABNORMAL PSYCHOLOGY,J ABNORMAL PSYCHOL,J ABNORM PSYCHOL,0021-843X,1939-1846,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF ADOLESCENCE,J ADOLESCENCE,J ADOLESCENCE,0140-1971,1095-9254,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF ADOLESCENT RESEARCH,J ADOLESCENT RES,J ADOLESCENT RES,0743-5584,1552-6895,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF ADULT DEVELOPMENT,J ADULT DEVELOPMENT,J ADULT DEV,1068-0667,1573-3440,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF AFFECTIVE DISORDERS,J AFFECT DISORDERS,J AFFECT DISORDERS,0165-0327,1573-2517,PSYCHIATRY/PSYCHOLOGY
Journal of Aggression Maltreatment & Trauma,J AGGRESS MALTREATMENT TRAUMA,J AGGRESS MALTREAT T,1092-6771,1545-083X,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF ANXIETY DISORDERS,J ANXIETY DISORD,J ANXIETY DISORD,0887-6185,1873-7897,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF APPLIED BEHAVIORAL SCIENCE,J APPL BEHAV SCI,J APPL BEHAV SCI,0021-8863,1552-6879,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF APPLIED BEHAVIOR ANALYSIS,J APPL BEHAV ANAL,J APPL BEHAV ANAL,0021-8855,1938-3703,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,J APPLIED DEV PSYCHOLOGY,J APPL DEV PSYCHOL,0193-3973,1873-7900,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF APPLIED PSYCHOLOGY,J APPL PSYCHOL,J APPL PSYCHOL,0021-9010,1939-1854,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,J APPL RES INTELLECT DISABIL,J APPL RES INTELLECT,1360-2322,1468-3148,PSYCHIATRY/PSYCHOLOGY
Journal of Applied Research in Memory and Cognition,J APPL RES MEM COGN,J APPL RES MEM COGN,2211-3681,2211-369X,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,J APPL SOC PSYCHOL,J APPL SOC PSYCHOL,0021-9029,1559-1816,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF APPLIED SPORT PSYCHOLOGY,J APPL SPORT PSYCHOL,J APPL SPORT PSYCHOL,1041-3200,1533-1571,PSYCHIATRY/PSYCHOLOGY
Journal of Attention Disorders,J ATTEN DISORD,J ATTEN DISORD,1087-0547,1557-1246,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,J AUTISM DEV DISORD,J AUTISM DEV DISORD,0162-3257,1573-3432,PSYCHIATRY/PSYCHOLOGY
Journal of Behavioral Addictions,J BEHAV ADDICT,J BEHAV ADDICT,2062-5871,2063-5303,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF BEHAVIORAL DECISION MAKING,J BEHAV DECIS MAKING,J BEHAV DECIS MAKING,0894-3257,1099-0771,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF BEHAVIORAL MEDICINE,J BEHAV MED,J BEHAV MED,0160-7715,1573-3521,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,J BEHAV THER EXP PSYCHIAT,J BEHAV THER EXP PSY,0005-7916,1873-7943,PSYCHIATRY/PSYCHOLOGY
Journal of Black Psychology,J BLACK PSYCHOL,J BLACK PSYCHOL,0095-7984,1552-4558,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF BUSINESS AND PSYCHOLOGY,J BUS PSYCHOL,J BUS PSYCHOL,0889-3268,1573-353X,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CAREER ASSESSMENT,J CAREER ASSESSMENT,J CAREER ASSESSMENT,1069-0727,1552-4590,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CAREER DEVELOPMENT,J CAREER DEVELOPMENT,J CAREER DEV,0894-8453,1556-0856,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,J CHILD ADOLESC PSYCHOPHARM,J CHILD ADOL PSYCHOP,1044-5463,1557-8992,PSYCHIATRY/PSYCHOLOGY
Journal of Child and Family Studies,J CHILD FAM STUD,J CHILD FAM STUD,1062-1024,1573-2843,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CHILD LANGUAGE,J CHILD LANG,J CHILD LANG,0305-0009,1469-7602,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,J CHILD PSYCHOL PSYCHIAT,J CHILD PSYCHOL PSYC,0021-9630,1469-7610,PSYCHIATRY/PSYCHOLOGY
Journal of Child Sexual Abuse,J CHILD SEX ABUS,J CHILD SEX ABUS,1053-8712,1547-0679,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,J CLIN CHILD ADOLESC PSYCHOL,J CLIN CHILD ADOLESC,1537-4416,1537-4424,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CLINICAL PSYCHIATRY,J CLIN PSYCHIAT,J CLIN PSYCHIAT,0160-6689,1555-2101,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CLINICAL PSYCHOLOGY IN MEDICAL SETTINGS,J CLIN PSYCHOL MED SETTINGS,J CLIN PSYCHOL MED S,1068-9583,1573-3572,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CLINICAL PSYCHOLOGY,J CLIN PSYCHOL,J CLIN PSYCHOL,0021-9762,1097-4679,PSYCHIATRY/PSYCHOLOGY
Journal of Cognition and Development,J COGN DEV,J COGN DEV,1524-8372,1532-7647,PSYCHIATRY/PSYCHOLOGY
Journal of Cognitive Psychology,J COGN PSYCHOL,J COGN PSYCHOL,2044-5911,2044-592X,PSYCHIATRY/PSYCHOLOGY
Journal of Cognitive Psychotherapy,J COGN PSYCHOTHER,J COGN PSYCHOTHER,0889-8391,1938-887X,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF COLLEGE STUDENT DEVELOPMENT,J COLL STUD DEVELOP,J COLL STUDENT DEV,0897-5264,1543-3382,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,J COMMUNITY APPL SOCIAL PSYCH,J COMMUNITY APPL SOC,1052-9284,1099-1298,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF COMMUNITY PSYCHOLOGY,J COMMUNITY PSYCHOL,J COMMUNITY PSYCHOL,0090-4392,1520-6629,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CONSTRUCTIVIST PSYCHOLOGY,J CONSTR PSYCHOL,J CONSTR PSYCHOL,1072-0537,1521-0650,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,J CONSULT CLIN PSYCHOL,J CONSULT CLIN PSYCH,0022-006X,1939-2117,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CONSUMER PSYCHOLOGY,J CONSUM PSYCHOL,J CONSUM PSYCHOL,1057-7408,1532-7663,PSYCHIATRY/PSYCHOLOGY
Journal of Contextual Behavioral Science,J CONTEXTUAL BEHAV SCI,J CONTEXT BEHAV SCI,2212-1447,2212-1455,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF COUNSELING AND DEVELOPMENT,J COUNS DEVELOP,J COUNS DEV,0748-9633,1556-6676,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF COUNSELING PSYCHOLOGY,J COUNS PSYCHOL,J COUNS PSYCHOL,0022-0167,1939-2168,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CREATIVE BEHAVIOR,J CREATIVE BEHAV,J CREATIVE BEHAV,0022-0175,2162-6057,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,J CROSS-CULT PSYCHOL,J CROSS CULT PSYCHOL,0022-0221,1552-5422,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,J DEVELOP BEHAV PEDIAT,J DEV BEHAV PEDIATR,0196-206X,1536-7312,PSYCHIATRY/PSYCHOLOGY
Journal of Dual Diagnosis,J DUAL DIAGN,J DUAL DIAGN,1550-4263,1550-4271,PSYCHIATRY/PSYCHOLOGY
